keyword,normalized_keyword,occurrences,source_types
AutoCAD,autocad,12,candidate_base_resume; openjobs_definition
CAD Technician,cad technician,8,candidate_base_resume; openjobs_definition
FTTH,ftth,8,candidate_base_resume; openjobs_definition
Mechanical Drafter,mechanical drafter,8,candidate_base_resume; openjobs_definition
as-built drawings,as-built drawings,7,candidate_base_resume
CAD Designer,cad designer,7,candidate_base_resume; openjobs_definition
CAD Drafter,cad drafter,7,candidate_base_resume; openjobs_definition
NESC,nesc,7,candidate_base_resume
OSP,osp,7,candidate_base_resume; openjobs_definition; saved_search
AutoCAD 2D,autocad 2d,6,candidate_base_resume
AutoCAD Drafter,autocad drafter,6,candidate_base_resume; openjobs_definition
BOM,bom,6,candidate_base_resume
BOQ,boq,6,candidate_base_resume
construction drawings,construction drawings,6,candidate_base_resume
OSP Engineer,osp engineer,6,candidate_base_resume; openjobs_definition
Permit Drafter,permit drafter,6,apify_keyword_group; candidate_base_resume; openjobs_definition
2D drafting,2d drafting,5,candidate_base_resume
ArcPy,arcpy,5,candidate_base_resume; openjobs_definition
AutoCAD 3D,autocad 3d,5,candidate_base_resume
Bill of Materials (BOM),bill of materials (bom),5,candidate_base_resume
Fiber Design Technician,fiber design technician,5,candidate_base_resume; openjobs_definition
FTTx,fttx,5,candidate_base_resume; openjobs_definition
Geospatial Analyst,geospatial analyst,5,apify_keyword_group; candidate_base_resume; openjobs_definition
GIS Analyst,gis analyst,5,candidate_base_resume; openjobs_definition
GIS Technician,gis technician,5,candidate_base_resume; openjobs_definition
Mechanical Designer,mechanical designer,5,candidate_base_resume; openjobs_definition
Network Engineer,network engineer,5,apify_keyword_group; candidate_base_resume; openjobs_definition
OSP Designer,osp designer,5,candidate_base_resume
SolidWorks,solidworks,5,candidate_base_resume
3D Modeling,3d modeling,4,candidate_base_resume
ASIC Design Engineer,asic design engineer,4,apify_keyword_group; candidate_base_resume; openjobs_definition
CAD standards,cad standards,4,candidate_base_resume
Digital Design Engineer,digital design engineer,4,apify_keyword_group; candidate_base_resume; openjobs_definition
drawing QA/QC,drawing qa/qc,4,candidate_base_resume
Embedded Systems Engineer,embedded systems engineer,4,apify_keyword_group; candidate_base_resume; openjobs_definition
Fiber Design Engineer,fiber design engineer,4,apify_keyword_group; candidate_base_resume; openjobs_definition
Fiber Optic Design Engineer,fiber optic design engineer,4,apify_keyword_group; candidate_base_resume; openjobs_definition
