keyword,score,profile_count,candidate_count,is_role_like
AutoCAD,915,9,3,0
CAD Technician,665,6,4,1
Mechanical Drafter,655,6,3,1
AutoCAD 2D,640,6,4,0
construction drawings,630,6,3,0
As-Built Drawings,620,6,2,0
NESC,615,6,3,0
BOM,605,6,2,0
BOQ,605,6,2,0
AutoCAD Drafter,565,5,4,1
CAD Designer,565,5,4,1
CAD Drafter,555,5,3,1
AutoCAD 3D,530,5,3,0
FTTH,495,5,1,0
OSP Engineer,455,4,3,1
Fiber Design Technician,445,4,2,1
OSP Designer,445,4,2,1
Permit Drafter,445,4,2,1
Bill of Materials (BOM),430,4,3,0
2D drafting,420,4,2,0
CAD standards,420,4,2,0
drawing QA/QC,420,4,2,0
layer management,420,4,2,0
Revit,415,4,3,0
SolidWorks,415,4,3,0
HLD,395,4,1,0
LLD,395,4,1,0
OSP Design Engineer,355,3,3,1
Telecommunications Engineer,355,3,3,1
Design Documentation Specialist,345,3,2,1
GIS Analyst,345,3,2,1
GIS Mapping Technician,345,3,2,1
GIS Technician,345,3,2,1
Mechanical CAD Technician,345,3,2,1
OSP CAD Designer,345,3,2,1
Mechanical Designer,335,3,1,1
Network Engineer,335,3,1,1
Spatial Manager,335,3,1,1
3D Modeling,330,3,3,0
Permit Packages,330,3,3,0
Redline Markups,330,3,3,0
bill of materials,320,3,2,0
Civil 3D,320,3,2,0
GIS Basemaps,320,3,2,0
permit drawings,320,3,2,0
Revision Control,320,3,2,0
technical drawings,320,3,2,0
DFM,315,3,3,0
GD&T,315,3,3,0
ISP Backbone,310,3,1,0
material takeoff,310,3,1,0
procurement planning,310,3,1,0
ArcPy,305,3,2,0
MicroStation,305,3,2,0
OSP,305,3,2,0
QGIS,305,3,2,0
BGP,295,3,1,0
FTTx,295,3,1,0
MPLS,295,3,1,0
Xrefs,295,3,1,0
Aerial Fiber Design Engineer,245,2,2,1
As-Built CAD Technician,245,2,2,1
As-Built Drafter,245,2,2,1
AutoCAD Technician,245,2,2,1
BIM/CAD Technician,245,2,2,1
Broadband Design Engineer,245,2,2,1
CAD Conversion Technician,245,2,2,1
CAD Data Technician,245,2,2,1
CAD Operator,245,2,2,1
CAD Production Technician,245,2,2,1
CAD QA/QC Technician,245,2,2,1
CAD Standards Technician,245,2,2,1
Civil CAD Drafter,245,2,2,1
Civil CAD Technician,245,2,2,1
Civil Design Technician,245,2,2,1
Civil Designer,245,2,2,1
Construction Documents Drafter,245,2,2,1
Construction Drafter,245,2,2,1
Construction-Ready Fiber Designer,245,2,2,1
Design Drafter,245,2,2,1
Document Control Coordinator,245,2,2,1
